https://michiganross.umich.edu/faculty-research/faculty/alison-davis-blake,Alison Davis-Blake,MO,alisondb,"Davis-Blake is an expert on strategic human resource management and organizational design for effective management of human capital. Her research interests include the effects of outsourcing on organizations and employees, organizational employment, salary and promotion systems, and the determinants and consequences of using contingent workers. She has taught courses in organization theory, organizational behavior, fundamentals of management, and strategic human resource management for undergraduate, MBA, doctoral, and executive education students."
https://michiganross.umich.edu/faculty-research/faculty/ms-krishnan,M.S. Krishnan,TO,mskrish,"Dr. M. S. Krishnan (?Û?Krishnan?Û?) is the Associate Dean Global Initiatives, Accenture Professor of Computer Information Systems and Professor of Technology and Operations at the Ross School of Business, University of Michigan. He has co-authored the book ?Û?The New Age of Innovation: Driving Co-Created Value with Global Networks?Û? with Professor C. K. Prahalad (late). The Economist and BusinessWeek magazine named this book as one of the Best Books on Innovation in 2008. Dr. Krishnan received his degrees in Mathematics and Computer Applications from the University of Delhi, India and Ph.D. in Information Systems from Carnegie Mellon University, Pittsburgh, USA in 1996. He was awarded the ICIS Best Dissertation Prize for his Doctoral Thesis on ?Û?Cost and Quality Considerations in Software Product Management?Û?."
https://michiganross.umich.edu/faculty-research/faculty/anuradha-nagarajan,Anuradha Nagarajan,STRAT,anuradha,"Dr. Nagarajan is a faculty member in the Corporate Strategy and International Business department at the Ross School of Business at the University of Michigan.?? Her primary research interests include the study of emerging industries, technology strategy, and the competitive implications of inter-organizational arrangements in highly uncertain, networked environments.?? Her reserach has focused on the patterns and the firm level performance effects of technology adoption in the trucking industry.?? Her research also includes the study of the international development of the intelligent transportation systems industry with particular interest in the development of standards and technology trajectories in a technologically interdependent environment.?? Her papers have appeared in the Strategic Management Journal and Industrial and Corporate Change.?? Her recent research papers on the use of technology and the internet in the trucking industry have been published as chapters in the following books: ""US Industry in 2000 - Studies in Competitive Performance"" published by the National Academy Press in 2000, ""Tracking a Transformation - e-commerce and the terms of competition in industries"" published by the Brookings Institution Press in 2001, and ""The Economic Payoff from the Internet Revolution"" published by the Brookings Institution Press in 2001.?? She teaches courses in corporate strategy, corporate development, mergers and acquisitions, managerment of alliances, and the management of technology and innovation in the BBA and MBA programs at the Ross School of Business at the University of Michigan.?? She received her Ph.D. in Corporate Strategy from the University of Michigan in 1996."
https://michiganross.umich.edu/faculty-research/faculty/francine-lafontaine,Francine Lafontaine,"Senior Associate Dean for Faculty and Research^William Davidson Professor of Business Economics and Public Policy^Professor of Economics, LSA^PhD University of British Columbia 1988",laf,"Francine Lafontaine's areas of interest are in the field of Industrial Organization, with a special focus on vertical relationships, including franchising and other forms of inter-firm contracting, and related antitrust issues. Her research is mostly concerned with the application of advances in contract theory to the analysis of organizational issues in the vertical chain, especially into distribution. She also considers the effect of contracting practices on firm performance, as well as issues surrounding business creation and survival in retail and small-scale service industries more generally."
https://michiganross.umich.edu/faculty-research/faculty/jose-uribe,Jose Uribe,Assistant Professor of Management and Organizations^Ph.D. Columbia University 2015^MBA Columbia University 2009^M.P.P. Georgetown University 2005^BA Mcgill University 2001,jnu,"Jose Uribe is an Assistant Professor in the Management and Organizations Department at the University of Michigan?Û?s Ross School of Business. His research focuses on the social dynamics affecting strategic outcomes for teams and organizations.?? He studies the performance implications of network structures, with special attention to those configurations that endow teams and organizations with a competitive advantage.?? He obtained his MBA and Ph.D from Columbia Business School, an M.P.P. from Georgetown University and B.A. in Economics from McGill University."
https://michiganross.umich.edu/faculty-research/faculty/yue-maggie-zhou,Yue Maggie Zhou,NBD Bancorp Assistant Professor of Business Administration^Assistant Professor of Strategy^PhD University of Michigan 2008^MBA University of Maryland 1998^BEng Shanghai Jiaotong University 1992,ymz,"Maggie's research focuses on the theory of the firm, organization structure and institutions. Her recent studies investigate the role of complexity??in setting limits to firm growth, competitive strategies, and??organizational design. Her work has been published in the Strategic Management Journal, Organization Science, Journal of Corporate Finance, and Advances in Strategic Management.Maggie teaches Competing in The Global Business Environment??at BBA and MBA levels and a PhD seminar on Research Methods. Prior to joining the University of Michigan, she taught Microeconomics and International Economics at the University of Maryland as an assistant professor.Maggie holds a PhD from the University of Michigan where she also earned the Gerald and Lillian Dykstra Fellowship for teaching excellence as a doctoral student. Prior to her academic career, Maggie worked for Arthur Andersen as a financial auditor, and the International Finance Corporation of the World Bank Group as an Investment Officer on privatization transactions in Africa, Asia, and Eastern Europe."
https://michiganross.umich.edu/faculty-research/faculty/michael-jensen,Michael Jensen,Professor of Strategy^PhD Northwestern University 2001^MA University of Aarhus 1995,michjen,"My research focuses??on the role of social structures in markets. I view markets as social structures that encompass social networks and market identities, both of which shape economic opportunities. Within this broad theoretical framework, I focus??on??status,??theorized initially as??positions??in social structure, but more recently also??as an important aspect of market identities, and on developing a role-theoretic perspective on reputation."
https://michiganross.umich.edu/faculty-research/faculty/eric-schwartz,Eric Schwartz,Assistant Professor of Marketing^PhD University of Pennsylvania 2013^BA University of Pennsylvania 2008,ericmsch,"Professor Eric Schwartz's expertise focuses on predicting customer behavior, understanding its drivers, and examining how firms actively manage their customer relationships through interactive marketing. His research in customer analytics stretches managerial applications, including online display advertising, email marketing, video consumption, and word-of-mouth. The quantitative methods he uses are primarily Bayesian statistics, machine learning, dynamic programming, and field experiments. His current projects aim to optimize firms?Û? A/B testing and adaptive marketing experiments using a multi-armed bandit framework. As marketers expand their ability to run tests of outbound marketing activity (e.g., sending emails/direct mail, serving display ads, customizing websites), this work guides marketers to be continuously ?Û?earning while learning.?Û? While interacting with students and managers, Professor Schwartz works to illustrate how today's marketers bridge the gap between technical skills and data-driven decision making. He earned his Ph.D. in Marketing from the Wharton School and a B.A. in Mathematics and Hispanic Studies, all from the University of Pennsylvania."
https://michiganross.umich.edu/faculty-research/faculty/amy-young,Amy Young,Lecturer of Business Communication^PhD University of Michigan 1998^MA University of Michigan 1994^BA Earlham College 1987,baldwin,Amy Young is on the Business Communications faculty at the Ross School of Business and received her Ph.D. in Psychology from the University of Michigan.?? Professor Young teaches positive business communications at Ross and provides students with tangible communicative strategies to build and expand human capabilities and wellbeing within the organizational context.??
https://michiganross.umich.edu/faculty-research/faculty/david-mayer,David Mayer,Michael R. and Mary Kay Hallman Fellow^Associate Professor of Management and Organizations,dmmayer,"David M. Mayer is an Associate Professor in the Management and Organizations Area at the University of Michigan?Û?s Ross School of Business. He received his Ph.D. from the University of Maryland. His research interests concern social and ethical issues in organizations. Specifically, he conducts research in three major areas: (1) behavioral ethics, (2) organizational justice, and (3) workplace diversity. A hallmark of his research is a focus on the effects of the organizational context (e.g., leadership, coworkers, climate) on employees?Û? unethical and pro-social behavior. He has published over 50 articles/chapters including over 25 articles in the following top management journals: Academy of Management Journal, Journal of Applied Psychology, Organizational Behavior and Human Decision Processes, and Personnel Psychology. He is currently an associate editor at the Academy of Management Journal."
